Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.0774370333637908,-0.0148272437982761,0.0107177030271637,0,0,0,0.0794003271646727,9.67652814264976E-05,-6.20691764667413E-12,2.46417753297851E-09,5.01282837289758E-05,-6.45218163565158E-11,5.01019135277721E-05,0,0,0,0,0,0,package://3D_ver3/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3D_ver3/meshes/base.STL,,backboard_3d_2-2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_backright,0,1.3299E-06,-0.0025,0,0,0,0.0035028,2.0609E-07,9.9262E-24,-8.9791E-23,2.0608E-07,-5.0635E-24,3.9757E-07,0,0,0,0,0,0,package://3D_ver3/meshes/wheel_backright.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3D_ver3/meshes/wheel_backright.STL,,wheel-4,Origin_wheel1,Axis1,wheel1,continuous,0.078031,0.020173,-0.029026,1.5708,0.20072,0,base,0,0,1,,,,,,,,,,,,
wheel_backleft,1.3878E-17,1.3299E-06,0.0025,0,0,0,0.0035028,2.0609E-07,-3.0159E-26,2.2058E-24,2.0608E-07,2.5768E-27,3.9757E-07,0,0,0,0,0,0,package://3D_ver3/meshes/wheel_backleft.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3D_ver3/meshes/wheel_backleft.STL,,wheel-3,Origin_wheel2,Axis2,wheel2,continuous,0.078031,-0.049827,-0.029026,1.5708,0,0,base,0,0,1,,,,,,,,,,,,
slide_back,1.7347E-18,-0.05113,0,0,0,0,0.0027934,3.4942E-07,-1.4017E-24,-1.1155E-24,3.9932E-08,-4.899E-25,3.4715E-07,0,0,0,0,0,0,package://3D_ver3/meshes/slide_back.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3D_ver3/meshes/slide_back.STL,,backboard_3d_2-1-1,Origin_slide1,Axis3,slide1,prismatic,0.076031,-0.014827,0.01077,3.1416,0,1.5708,base,0,-1,0,0,0,-0.05,0.05,,,,,,,,
universal_pin,1.7347E-18,1.9284E-09,1.9284E-09,0,0,0,0.00027149,5.9356E-09,4.4722E-15,-4.4722E-15,3.2007E-09,1.0097E-21,3.2007E-09,0,0,0,0,0,0,package://3D_ver3/meshes/universal_pin.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3D_ver3/meshes/universal_pin.STL,,universal_pin-1,Origin_yaw,Axis4,yaw,revolute,0,-0.068,0,-1.5708,0,1.5708,slide_back,0,-1,0,0,0,-1.5708,1.5708,,,,,,,,
slide_front,0,-0.05113,-1.7347E-18,0,0,0,0.0027934,3.4715E-07,7.833E-24,-3.3029E-25,3.9932E-08,-1.2706E-23,3.4942E-07,0,0,0,0,0,0,package://3D_ver3/meshes/slide_front.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3D_ver3/meshes/slide_front.STL,,backboard_3d_1-1-1,Origin_pitch,Axis5,pitch,revolute,-0.068,-0.65,0,1.5708,-1.5708,0,universal_pin,-1,0,0,0,0,-1.5708,1.5708,,,,,,,,
head,-2.3602E-08,-0.0014065,-5.2502E-05,0,0,0,0.0794,5.0128E-05,5.0032E-12,-6.4522E-11,9.6765E-05,-2.4642E-09,5.0102E-05,0,0,0,0,0,0,package://3D_ver3/meshes/head.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3D_ver3/meshes/head.STL,,backboard_3d_1-2-1,Origin_slide2,Axis6,slide2,prismatic,0,0,0,3.1416,0,0,slide_front,0,1,0,0,0,-0.05,0.05,,,,,,,,
wheel_frontright,0,1.3299E-06,-0.0025,0,0,0,0.0035028,2.0609E-07,-4.1854E-25,-3.4801E-26,2.0608E-07,3.5037E-27,3.9757E-07,0,0,0,0,0,0,package://3D_ver3/meshes/wheel_frontright.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3D_ver3/meshes/wheel_frontright.STL,,wheel-2,Origin_wheel3,Axis7,wheel3,continuous,-0.035,-0.002,-0.039796,1.5708,0,1.5708,head,0,0,1,,,,,,,,,,,,
wheel_frontleft,0,1.3299E-06,0.0025,0,0,0,0.0035028,2.0609E-07,-4.1841E-25,2.1541E-24,2.0608E-07,7.9016E-27,3.9757E-07,0,0,0,0,0,0,package://3D_ver3/meshes/wheel_frontleft.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3D_ver3/meshes/wheel_frontleft.STL,,wheel-1,Origin_wheel4,Axis8,wheel4,continuous,0.035,-0.002,-0.039796,1.5708,0,1.5708,head,0,0,1,,,,,,,,,,,,
